GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US390490072092,390490072092,"Block Group 2, Census Tract 72.09, Franklin County, Ohio",2029,283,67,72,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,29,16,24,252,102,0,11,29,34,163,85,77,58,769,222,432,166,142,118,64,54
1500000US390490072101,390490072101,"Block Group 1, Census Tract 72.10, Franklin County, Ohio",579,172,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,20,93,70,0,11,36,29,30,35,23,25,233,146,92,67,31,35,29,27
1500000US390490072102,390490072102,"Block Group 2, Census Tract 72.10, Franklin County, Ohio",2312,476,39,41,0,11,0,11,0,11,0,11,136,226,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,123,78,0,11,98,82,182,126,72,90,1094,270,377,162,164,114,27,31
1500000US390490072103,390490072103,"Block Group 3, Census Tract 72.10, Franklin County, Ohio",1584,256,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,20,34,12,21,83,69,0,11,15,24,115,116,76,57,534,186,375,144,215,113,139,101
1500000US390490072104,390490072104,"Block Group 4, Census Tract 72.10, Franklin County, Ohio",1298,242,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,9,21,0,11,0,11,117,65,0,11,9,21,131,102,40,49,506,204,267,120,89,69,130,113
1500000US390490073931,390490073931,"Block Group 1, Census Tract 73.93, Franklin County, Ohio",1199,213,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,19,65,59,17,28,42,40,56,49,72,65,526,175,344,143,15,24,50,44
1500000US390490073932,390490073932,"Block Group 2, Census Tract 73.93, Franklin County, Ohio",1696,255,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,285,143,11,18,51,49,276,136,35,35,650,182,359,110,0,11,29,32
1500000US390490073933,390490073933,"Block Group 3, Census Tract 73.93, Franklin County, Ohio",1444,248,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,21,528,228,0,11,84,66,196,107,92,73,330,106,109,65,62,57,30,33
1500000US390490073934,390490073934,"Block Group 4, Census Tract 73.93, Franklin County, Ohio",1869,306,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,23,0,11,221,124,0,11,97,95,153,87,141,95,766,185,416,142,62,52,0,11
1500000US390490073941,390490073941,"Block Group 1, Census Tract 73.94, Franklin County, Ohio",480,120,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,11,35,42,120,63,0,11,11,13,55,37,11,18,154,69,74,44,9,11,4,7
1500000US390490073942,390490073942,"Block Group 2, Census Tract 73.94, Franklin County, Ohio",507,140,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,26,0,11,40,42,6,9,53,29,30,23,15,22,195,89,86,55,53,37,14,19
1500000US390490073943,390490073943,"Block Group 3, Census Tract 73.94, Franklin County, Ohio",838,166,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,34,27,8,15,164,105,7,11,25,31,92,46,37,24,272,115,102,66,74,45,23,23
1500000US390490073951,390490073951,"Block Group 1, Census Tract 73.95, Franklin County, Ohio",1550,430,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,21,39,16,28,142,199,22,37,21,34,25,42,160,109,0,11,656,271,470,237,17,29,0,11
