GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US080130126074,080130126074,"Block Group 4, Census Tract 126.07, Boulder County, Colorado",784,133
1500000US080130126081,080130126081,"Block Group 1, Census Tract 126.08, Boulder County, Colorado",1009,37
1500000US080130127011,080130127011,"Block Group 1, Census Tract 127.01, Boulder County, Colorado",224,59
1500000US080130127012,080130127012,"Block Group 2, Census Tract 127.01, Boulder County, Colorado",514,94
1500000US080130127013,080130127013,"Block Group 3, Census Tract 127.01, Boulder County, Colorado",910,73
1500000US080130127014,080130127014,"Block Group 4, Census Tract 127.01, Boulder County, Colorado",746,116
1500000US080130127051,080130127051,"Block Group 1, Census Tract 127.05, Boulder County, Colorado",793,91
1500000US080130127052,080130127052,"Block Group 2, Census Tract 127.05, Boulder County, Colorado",1119,96
1500000US080130127053,080130127053,"Block Group 3, Census Tract 127.05, Boulder County, Colorado",237,49
1500000US080130127071,080130127071,"Block Group 1, Census Tract 127.07, Boulder County, Colorado",403,47
1500000US080130127072,080130127072,"Block Group 2, Census Tract 127.07, Boulder County, Colorado",306,36
1500000US080130127081,080130127081,"Block Group 1, Census Tract 127.08, Boulder County, Colorado",564,117
1500000US080130127082,080130127082,"Block Group 2, Census Tract 127.08, Boulder County, Colorado",311,57
1500000US080130127083,080130127083,"Block Group 3, Census Tract 127.08, Boulder County, Colorado",1109,103
1500000US080130127084,080130127084,"Block Group 4, Census Tract 127.08, Boulder County, Colorado",329,87
1500000US080130127091,080130127091,"Block Group 1, Census Tract 127.09, Boulder County, Colorado",721,25
1500000US080130127101,080130127101,"Block Group 1, Census Tract 127.10, Boulder County, Colorado",171,39
1500000US080130127102,080130127102,"Block Group 2, Census Tract 127.10, Boulder County, Colorado",815,79
1500000US080130127103,080130127103,"Block Group 3, Census Tract 127.10, Boulder County, Colorado",589,74
1500000US080130128001,080130128001,"Block Group 1, Census Tract 128, Boulder County, Colorado",459,115
1500000US080130128002,080130128002,"Block Group 2, Census Tract 128, Boulder County, Colorado",796,121
1500000US080130128003,080130128003,"Block Group 3, Census Tract 128, Boulder County, Colorado",1503,142
1500000US080130128004,080130128004,"Block Group 4, Census Tract 128, Boulder County, Colorado",609,138
1500000US080130128005,080130128005,"Block Group 5, Census Tract 128, Boulder County, Colorado",614,104
1500000US080130129031,080130129031,"Block Group 1, Census Tract 129.03, Boulder County, Colorado",964,38
1500000US080130129041,080130129041,"Block Group 1, Census Tract 129.04, Boulder County, Colorado",880,148
1500000US080130129042,080130129042,"Block Group 2, Census Tract 129.04, Boulder County, Colorado",1493,173
1500000US080130129051,080130129051,"Block Group 1, Census Tract 129.05, Boulder County, Colorado",730,79
1500000US080130129052,080130129052,"Block Group 2, Census Tract 129.05, Boulder County, Colorado",438,80
1500000US080130129071,080130129071,"Block Group 1, Census Tract 129.07, Boulder County, Colorado",857,80
1500000US080130129072,080130129072,"Block Group 2, Census Tract 129.07, Boulder County, Colorado",468,66
1500000US080130130031,080130130031,"Block Group 1, Census Tract 130.03, Boulder County, Colorado",632,94
1500000US080130130032,080130130032,"Block Group 2, Census Tract 130.03, Boulder County, Colorado",161,50
1500000US080130130033,080130130033,"Block Group 3, Census Tract 130.03, Boulder County, Colorado",338,53
1500000US080130130034,080130130034,"Block Group 4, Census Tract 130.03, Boulder County, Colorado",1314,97
1500000US080130130041,080130130041,"Block Group 1, Census Tract 130.04, Boulder County, Colorado",409,56
1500000US080130130042,080130130042,"Block Group 2, Census Tract 130.04, Boulder County, Colorado",864,64
1500000US080130130051,080130130051,"Block Group 1, Census Tract 130.05, Boulder County, Colorado",659,81
1500000US080130130052,080130130052,"Block Group 2, Census Tract 130.05, Boulder County, Colorado",749,85
1500000US080130130061,080130130061,"Block Group 1, Census Tract 130.06, Boulder County, Colorado",547,82
1500000US080130130062,080130130062,"Block Group 2, Census Tract 130.06, Boulder County, Colorado",561,83
1500000US080130130063,080130130063,"Block Group 3, Census Tract 130.06, Boulder County, Colorado",1189,105
1500000US080130132011,080130132011,"Block Group 1, Census Tract 132.01, Boulder County, Colorado",668,25
1500000US080130132021,080130132021,"Block Group 1, Census Tract 132.02, Boulder County, Colorado",350,34
1500000US080130132022,080130132022,"Block Group 2, Census Tract 132.02, Boulder County, Colorado",258,42
1500000US080130132051,080130132051,"Block Group 1, Census Tract 132.05, Boulder County, Colorado",546,100
1500000US080130132052,080130132052,"Block Group 2, Census Tract 132.05, Boulder County, Colorado",1239,157
1500000US080130132053,080130132053,"Block Group 3, Census Tract 132.05, Boulder County, Colorado",317,87
1500000US080130132071,080130132071,"Block Group 1, Census Tract 132.07, Boulder County, Colorado",830,98
1500000US080130132072,080130132072,"Block Group 2, Census Tract 132.07, Boulder County, Colorado",488,98
1500000US080130132073,080130132073,"Block Group 3, Census Tract 132.07, Boulder County, Colorado",578,62
1500000US080130132081,080130132081,"Block Group 1, Census Tract 132.08, Boulder County, Colorado",1100,129
1500000US080130132082,080130132082,"Block Group 2, Census Tract 132.08, Boulder County, Colorado",319,58
1500000US080130132083,080130132083,"Block Group 3, Census Tract 132.08, Boulder County, Colorado",1131,133
1500000US080130132101,080130132101,"Block Group 1, Census Tract 132.10, Boulder County, Colorado",614,87
1500000US080130132102,080130132102,"Block Group 2, Census Tract 132.10, Boulder County, Colorado",643,93
1500000US080130132103,080130132103,"Block Group 3, Census Tract 132.10, Boulder County, Colorado",550,81
1500000US080130132111,080130132111,"Block Group 1, Census Tract 132.11, Boulder County, Colorado",1020,158
1500000US080130132112,080130132112,"Block Group 2, Census Tract 132.11, Boulder County, Colorado",842,147
1500000US080130132113,080130132113,"Block Group 3, Census Tract 132.11, Boulder County, Colorado",393,144
1500000US080130132121,080130132121,"Block Group 1, Census Tract 132.12, Boulder County, Colorado",301,64
