No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
28,TN,"1,351",1826 Carter St,35.037433,-85.315093,188,16,15.97441034,100.0143919,134.9596491,19223.18656,23.9167669,784.6686857,89.24446937,17898.83384,5.824002456,439.6696497
29,TN,"1,353",500 Georgia Ave,35.050771,-85.305346,151,13,728.4213386,493.7019909,3925.317292,39556.67451,520.8110304,931.2233603,2320.358816,37770.68958,355.7261076,361.0595834
30,TN,"1,369",Douglas St & Vine St,35.048285,-85.300237,255,21,468.989507,24222.05341,2514.351376,27278.70503,421.4934878,2136.733746,1371.356399,916.3755028,252.5119822,3.542374053
31,TN,"1,373",4310 Amnicola Hwy,35.096003,-85.254503,1522,127,,0.180830679,,1233.361171,,0,,1207.909118,,25.27122237
32,TN,"1,420",495 Riverfront Pkwy,35.053801,-85.32021,617,51,0,8.140047543,4.84460713,39427.91637,0,397.2629002,4.84460713,38962.54196,0,59.971462
33,OH,1,Bicentennial Park,39.955864,-83.003106,5643,470,450.9875634,9538.58051,2198.98391,62231.91513,246.6899814,1414.705419,1332.013766,50966.51224,169.2925993,312.1169645
34,OH,2,City Hall,39.963524,-83.002854,1650,138,564.7825499,1452.571401,2595.334938,164111.364,230.6384298,7149.600305,1623.167761,155006.1962,176.7461969,502.9960107
35,OH,3,Front St & Beck St,39.950124,-83.000235,843,70,1379.38747,6631.84948,5274.865308,63628.2299,420.8744504,5882.43085,3022.369731,49275.48086,452.2336567,1838.468713
36,OH,4,Scioto Audubon Center,39.945895,-83.00907,2050,171,0.095442361,0,0.190884721,10.91485449,0.095442361,0.477211803,0,10.43764269,0,0
37,OH,5,Dorrian Commons - Mound St,39.954717,-82.998879,589,49,596.0210321,21577.8022,2443.216686,89745.19166,288.7612666,2859.7746,1358.50334,64845.59127,199.9310474,462.023591
38,OH,6,Schiller Park - Stewart Ave,39.942026,-82.995019,929,77,1521.479036,218.4888908,6619.84344,7286.992257,741.9140484,3103.47347,3878.826279,3612.700563,477.6240755,352.3293331
39,OH,7,Neil Ave & Nationwide Blvd,39.968098,-83.008763,1833,153,354.9774762,1972.957606,2299.323242,65534.74001,238.6537953,10675.05696,1608.959957,51643.99452,96.73201399,1242.730927
40,OH,8,Bank St & Frankfort St,39.946568,-83.000322,361,30,887.4065031,158.8606183,4164.930937,23726.4864,375.4305491,2412.374793,2520.547561,20288.54249,381.5463245,866.7085022
41,OH,9,Columbus Commons - Rich St,39.957591,-82.998002,1288,107,473.5769788,4478.318877,2363.410786,72947.13033,308.889662,9230.752551,1379.653547,58154.51736,201.2905983,1083.541536
42,OH,10,3rd St & Sycamore St,39.949348,-82.995285,1173,98,2335.071904,218.7431044,9246.511691,18482.15222,852.2205024,5950.552818,5273.953737,11921.58307,785.265548,391.2732289
43,OH,11,Nationwide Arena - Front St,39.969126,-83.00397,1399,117,411.1626462,208.6588895,1798.976818,154675.4559,178.0038974,17394.59507,1058.589332,135553.7219,151.2209424,1518.480017
44,OH,12,Convention Center,39.970512,-83.002354,1495,125,226.9381154,223.9015031,1108.658748,137440.1236,124.5532614,17374.69343,667.4724358,118568.6338,89.69493549,1272.89488
45,OH,13,High St & Broad St,39.962002,-83.001081,2167,181,337.5799511,1990.772298,1680.304962,214707.0028,162.4491449,14830.01239,1064.606839,196592.9418,115.6690267,1293.27634
46,OH,14,Livingston Park,39.951464,-82.979178,328,27,603.4840345,119939.6584,2191.797776,127579.3867,283.2019823,481.0240514,1080.024397,6975.767357,225.0873623,182.9368198
47,OH,15,Grant Ave & Main St,39.957493,-82.990057,416,35,1618.209875,29878.84081,6821.937237,44940.19625,849.6797081,2203.064882,3805.070499,12524.35302,548.9771548,333.9375375
48,OH,16,Sensenbrenner Park,39.968596,-83.001618,1379,115,678.187105,188.3677622,3030.134325,157513.0121,277.5512763,12462.69113,1897.801098,144147.3492,176.594846,714.6040888
49,OH,17,High St & Spring St,39.965866,-83.001502,1126,94,925.9964438,786.1209193,4233.105383,196854.3197,395.8774421,7085.117515,2674.879713,188245.6889,236.3517836,737.3923452
50,OH,18,3rd St & Gay St,39.963964,-82.998665,1808,151,706.2113319,15862.37804,3198.884762,183958.3751,256.0575019,9433.437081,2013.039289,157648.5585,223.5766391,1014.001548
51,OH,19,COSI,39.961234,-83.006558,1983,165,0,187.7355943,11.697056,20270.62819,0,2189.28767,11.697056,17835.50765,0,58.09727672
52,OH,20,North Market,39.972193,-83.00356,2003,167,629.9698004,470.0054331,2773.030102,45606.09063,310.5161788,17092.85866,1658.210679,26760.58761,174.3334438,1282.638924
53,OH,21,Kilbourne St & Vine St,39.972025,-83.007284,509,42,448.6931275,91.88385602,2237.702488,29555.8067,222.3308276,14025.18074,1368.747612,14177.90217,197.9309208,1260.839925
