GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,Alternate Commuters
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,AltComm
1500000US080130125104,80130125104,"Block Group 4, Census Tract 125.10, Boulder County, Colorado",55,0,0,0,101,156
1500000US080130125111,80130125111,"Block Group 1, Census Tract 125.11, Boulder County, Colorado",127,0,0,18,24,169
1500000US080130125112,80130125112,"Block Group 2, Census Tract 125.11, Boulder County, Colorado",80,0,0,77,104,261
1500000US080130125113,80130125113,"Block Group 3, Census Tract 125.11, Boulder County, Colorado",220,0,0,102,76,398
1500000US080130126031,80130126031,"Block Group 1, Census Tract 126.03, Boulder County, Colorado",92,0,7,106,51,256
1500000US080130126032,80130126032,"Block Group 2, Census Tract 126.03, Boulder County, Colorado",70,0,0,26,6,102
1500000US080130126051,80130126051,"Block Group 1, Census Tract 126.05, Boulder County, Colorado",52,0,0,60,86,198
1500000US080130126052,80130126052,"Block Group 2, Census Tract 126.05, Boulder County, Colorado",7,0,0,90,133,230
1500000US080130126071,80130126071,"Block Group 1, Census Tract 126.07, Boulder County, Colorado",0,0,0,84,102,186
1500000US080130126072,80130126072,"Block Group 2, Census Tract 126.07, Boulder County, Colorado",123,0,0,85,60,268
1500000US080130126073,80130126073,"Block Group 3, Census Tract 126.07, Boulder County, Colorado",17,0,0,95,157,269
1500000US080130126074,80130126074,"Block Group 4, Census Tract 126.07, Boulder County, Colorado",128,0,0,178,124,430
1500000US080130126081,80130126081,"Block Group 1, Census Tract 126.08, Boulder County, Colorado",58,0,5,145,100,308
1500000US080130127011,80130127011,"Block Group 1, Census Tract 127.01, Boulder County, Colorado",0,0,0,0,10,10
1500000US080130127012,80130127012,"Block Group 2, Census Tract 127.01, Boulder County, Colorado",16,0,16,18,0,50
1500000US080130127013,80130127013,"Block Group 3, Census Tract 127.01, Boulder County, Colorado",54,0,16,61,0,131
1500000US080130127014,80130127014,"Block Group 4, Census Tract 127.01, Boulder County, Colorado",13,0,11,47,0,71
1500000US080130127051,80130127051,"Block Group 1, Census Tract 127.05, Boulder County, Colorado",29,0,0,36,51,116
1500000US080130127052,80130127052,"Block Group 2, Census Tract 127.05, Boulder County, Colorado",54,0,0,44,28,126
1500000US080130127053,80130127053,"Block Group 3, Census Tract 127.05, Boulder County, Colorado",9,0,0,27,9,45
1500000US080130127071,80130127071,"Block Group 1, Census Tract 127.07, Boulder County, Colorado",12,0,7,5,0,24
1500000US080130127072,80130127072,"Block Group 2, Census Tract 127.07, Boulder County, Colorado",10,0,0,5,0,15
1500000US080130127081,80130127081,"Block Group 1, Census Tract 127.08, Boulder County, Colorado",11,0,35,34,0,80
1500000US080130127082,80130127082,"Block Group 2, Census Tract 127.08, Boulder County, Colorado",18,16,0,0,0,34
1500000US080130127083,80130127083,"Block Group 3, Census Tract 127.08, Boulder County, Colorado",0,0,0,12,0,12
1500000US080130127084,80130127084,"Block Group 4, Census Tract 127.08, Boulder County, Colorado",0,0,0,7,0,7
1500000US080130127091,80130127091,"Block Group 1, Census Tract 127.09, Boulder County, Colorado",36,0,0,16,6,58
1500000US080130127101,80130127101,"Block Group 1, Census Tract 127.10, Boulder County, Colorado",5,0,0,18,0,23
1500000US080130127102,80130127102,"Block Group 2, Census Tract 127.10, Boulder County, Colorado",47,0,0,38,70,155
1500000US080130127103,80130127103,"Block Group 3, Census Tract 127.10, Boulder County, Colorado",28,0,0,0,19,47
1500000US080130128001,80130128001,"Block Group 1, Census Tract 128, Boulder County, Colorado",21,0,14,0,13,48
1500000US080130128002,80130128002,"Block Group 2, Census Tract 128, Boulder County, Colorado",15,0,0,0,17,32
1500000US080130128003,80130128003,"Block Group 3, Census Tract 128, Boulder County, Colorado",90,0,12,0,0,102
1500000US080130128004,80130128004,"Block Group 4, Census Tract 128, Boulder County, Colorado",13,0,0,0,35,48
1500000US080130128005,80130128005,"Block Group 5, Census Tract 128, Boulder County, Colorado",0,0,0,0,40,40
1500000US080130129031,80130129031,"Block Group 1, Census Tract 129.03, Boulder County, Colorado",15,0,0,23,10,48
1500000US080130129041,80130129041,"Block Group 1, Census Tract 129.04, Boulder County, Colorado",14,0,0,4,16,34
1500000US080130129042,80130129042,"Block Group 2, Census Tract 129.04, Boulder County, Colorado",104,0,0,22,15,141
1500000US080130129051,80130129051,"Block Group 1, Census Tract 129.05, Boulder County, Colorado",52,0,0,14,0,66
1500000US080130129052,80130129052,"Block Group 2, Census Tract 129.05, Boulder County, Colorado",24,0,0,0,0,24
1500000US080130129071,80130129071,"Block Group 1, Census Tract 129.07, Boulder County, Colorado",8,0,0,0,38,46
1500000US080130129072,80130129072,"Block Group 2, Census Tract 129.07, Boulder County, Colorado",72,0,20,9,0,101
1500000US080130130031,80130130031,"Block Group 1, Census Tract 130.03, Boulder County, Colorado",23,0,0,0,0,23
1500000US080130130032,80130130032,"Block Group 2, Census Tract 130.03, Boulder County, Colorado",0,0,0,0,47,47
1500000US080130130033,80130130033,"Block Group 3, Census Tract 130.03, Boulder County, Colorado",33,0,0,0,0,33
1500000US080130130034,80130130034,"Block Group 4, Census Tract 130.03, Boulder County, Colorado",132,0,0,0,63,195
1500000US080130130041,80130130041,"Block Group 1, Census Tract 130.04, Boulder County, Colorado",7,0,0,0,0,7
1500000US080130130042,80130130042,"Block Group 2, Census Tract 130.04, Boulder County, Colorado",75,0,0,15,8,98
1500000US080130130051,80130130051,"Block Group 1, Census Tract 130.05, Boulder County, Colorado",18,0,0,0,47,65
1500000US080130130052,80130130052,"Block Group 2, Census Tract 130.05, Boulder County, Colorado",81,0,0,45,8,134
1500000US080130130061,80130130061,"Block Group 1, Census Tract 130.06, Boulder County, Colorado",55,0,0,52,14,121
1500000US080130130062,80130130062,"Block Group 2, Census Tract 130.06, Boulder County, Colorado",29,0,0,46,0,75
1500000US080130130063,80130130063,"Block Group 3, Census Tract 130.06, Boulder County, Colorado",123,0,0,14,46,183
1500000US080130132011,80130132011,"Block Group 1, Census Tract 132.01, Boulder County, Colorado",0,0,0,4,20,24
1500000US080130132021,80130132021,"Block Group 1, Census Tract 132.02, Boulder County, Colorado",0,0,0,3,22,25
1500000US080130132022,80130132022,"Block Group 2, Census Tract 132.02, Boulder County, Colorado",18,0,0,0,19,37
