GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US08001009321,08001009321,"Census Tract 93.21, Adams County, Colorado",3740,403
1400000US08001009322,08001009322,"Census Tract 93.22, Adams County, Colorado",4294,415
1400000US08001009323,08001009323,"Census Tract 93.23, Adams County, Colorado",3935,376
1400000US08001009325,08001009325,"Census Tract 93.25, Adams County, Colorado",5016,450
1400000US08001009326,08001009326,"Census Tract 93.26, Adams County, Colorado",2552,169
1400000US08001009327,08001009327,"Census Tract 93.27, Adams County, Colorado",3886,411
1400000US08001009401,08001009401,"Census Tract 94.01, Adams County, Colorado",5292,334
1400000US08001009406,08001009406,"Census Tract 94.06, Adams County, Colorado",4635,365
1400000US08001009407,08001009407,"Census Tract 94.07, Adams County, Colorado",5691,524
1400000US08001009408,08001009408,"Census Tract 94.08, Adams County, Colorado",4343,292
1400000US08001009409,08001009409,"Census Tract 94.09, Adams County, Colorado",5674,438
1400000US08001009410,08001009410,"Census Tract 94.10, Adams County, Colorado",2993,249
1400000US08001009411,08001009411,"Census Tract 94.11, Adams County, Colorado",2990,273
1400000US08001009501,08001009501,"Census Tract 95.01, Adams County, Colorado",3182,313
1400000US08001009502,08001009502,"Census Tract 95.02, Adams County, Colorado",4452,364
1400000US08001009553,08001009553,"Census Tract 95.53, Adams County, Colorado",2989,417
1400000US08001009603,08001009603,"Census Tract 96.03, Adams County, Colorado",5849,471
1400000US08001009604,08001009604,"Census Tract 96.04, Adams County, Colorado",4430,357
1400000US08001009606,08001009606,"Census Tract 96.06, Adams County, Colorado",2867,388
1400000US08001009607,08001009607,"Census Tract 96.07, Adams County, Colorado",5282,462
1400000US08001009608,08001009608,"Census Tract 96.08, Adams County, Colorado",3078,18
1400000US08001009751,08001009751,"Census Tract 97.51, Adams County, Colorado",3631,478
1400000US08001009752,08001009752,"Census Tract 97.52, Adams County, Colorado",2991,290
1400000US08001015000,08001015000,"Census Tract 150, Adams County, Colorado",2892,315
1400000US08001060000,08001060000,"Census Tract 600, Adams County, Colorado",5000,277
1400000US08001060100,08001060100,"Census Tract 601, Adams County, Colorado",7242,407
1400000US08001060200,08001060200,"Census Tract 602, Adams County, Colorado",3571,256
1400000US08001061200,08001061200,"Census Tract 612, Adams County, Colorado",1605,171
1400000US08001988700,08001988700,"Census Tract 9887, Adams County, Colorado",0,11
1400000US08003960000,08003960000,"Census Tract 9600, Alamosa County, Colorado",1487,213
1400000US08003960100,08003960100,"Census Tract 9601, Alamosa County, Colorado",2938,311
1400000US08003960200,08003960200,"Census Tract 9602, Alamosa County, Colorado",7078,465
1400000US08003960300,08003960300,"Census Tract 9603, Alamosa County, Colorado",4766,396
1400000US08005004951,08005004951,"Census Tract 49.51, Arapahoe County, Colorado",2060,215
1400000US08005004952,08005004952,"Census Tract 49.52, Arapahoe County, Colorado",2684,217
1400000US08005005551,08005005551,"Census Tract 55.51, Arapahoe County, Colorado",3581,437
1400000US08005005552,08005005552,"Census Tract 55.52, Arapahoe County, Colorado",2516,319
1400000US08005005553,08005005553,"Census Tract 55.53, Arapahoe County, Colorado",3796,350
1400000US08005005611,08005005611,"Census Tract 56.11, Arapahoe County, Colorado",4830,412
1400000US08005005612,08005005612,"Census Tract 56.12, Arapahoe County, Colorado",3834,240
1400000US08005005614,08005005614,"Census Tract 56.14, Arapahoe County, Colorado",3364,303
1400000US08005005619,08005005619,"Census Tract 56.19, Arapahoe County, Colorado",4589,263
1400000US08005005620,08005005620,"Census Tract 56.20, Arapahoe County, Colorado",2745,236
1400000US08005005621,08005005621,"Census Tract 56.21, Arapahoe County, Colorado",3203,211
1400000US08005005622,08005005622,"Census Tract 56.22, Arapahoe County, Colorado",2349,132
1400000US08005005623,08005005623,"Census Tract 56.23, Arapahoe County, Colorado",4121,255
1400000US08005005624,08005005624,"Census Tract 56.24, Arapahoe County, Colorado",2344,179
1400000US08005005625,08005005625,"Census Tract 56.25, Arapahoe County, Colorado",3000,180
1400000US08005005626,08005005626,"Census Tract 56.26, Arapahoe County, Colorado",3736,301
1400000US08005005627,08005005627,"Census Tract 56.27, Arapahoe County, Colorado",4509,259
1400000US08005005628,08005005628,"Census Tract 56.28, Arapahoe County, Colorado",5661,296
1400000US08005005629,08005005629,"Census Tract 56.29, Arapahoe County, Colorado",2413,95
1400000US08005005630,08005005630,"Census Tract 56.30, Arapahoe County, Colorado",5263,304
1400000US08005005631,08005005631,"Census Tract 56.31, Arapahoe County, Colorado",3337,248
1400000US08005005632,08005005632,"Census Tract 56.32, Arapahoe County, Colorado",3317,213
1400000US08005005633,08005005633,"Census Tract 56.33, Arapahoe County, Colorado",3177,180
1400000US08005005634,08005005634,"Census Tract 56.34, Arapahoe County, Colorado",3089,219
1400000US08005005635,08005005635,"Census Tract 56.35, Arapahoe County, Colorado",5209,337
1400000US08005005636,08005005636,"Census Tract 56.36, Arapahoe County, Colorado",2000,142
1400000US08005005700,08005005700,"Census Tract 57, Arapahoe County, Colorado",3628,303
1400000US08005005800,08005005800,"Census Tract 58, Arapahoe County, Colorado",2417,184
1400000US08005005951,08005005951,"Census Tract 59.51, Arapahoe County, Colorado",4399,412
1400000US08005005952,08005005952,"Census Tract 59.52, Arapahoe County, Colorado",3133,277
1400000US08005006000,08005006000,"Census Tract 60, Arapahoe County, Colorado",2714,331
1400000US08005006100,08005006100,"Census Tract 61, Arapahoe County, Colorado",2895,254
1400000US08005006200,08005006200,"Census Tract 62, Arapahoe County, Colorado",3102,243
1400000US08005006300,08005006300,"Census Tract 63, Arapahoe County, Colorado",2416,200
1400000US08005006400,08005006400,"Census Tract 64, Arapahoe County, Colorado",3328,319
1400000US08005006501,08005006501,"Census Tract 65.01, Arapahoe County, Colorado",2144,213
1400000US08005006502,08005006502,"Census Tract 65.02, Arapahoe County, Colorado",3460,192
1400000US08005006601,08005006601,"Census Tract 66.01, Arapahoe County, Colorado",5339,524
1400000US08005006603,08005006603,"Census Tract 66.03, Arapahoe County, Colorado",3511,202
1400000US08005006604,08005006604,"Census Tract 66.04, Arapahoe County, Colorado",4111,244
1400000US08005006704,08005006704,"Census Tract 67.04, Arapahoe County, Colorado",4509,128
1400000US08005006705,08005006705,"Census Tract 67.05, Arapahoe County, Colorado",1820,127
