,GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01
0,Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over
65,1400000US08001009316,08001009316,"Census Tract 93.16, Adams County, Colorado",5104,57.7,10.6
66,1400000US08001009318,08001009318,"Census Tract 93.18, Adams County, Colorado",4345,65.3,9.2
67,1400000US08001009319,08001009319,"Census Tract 93.19, Adams County, Colorado",1872,62.9,6.8
68,1400000US08001009320,08001009320,"Census Tract 93.20, Adams County, Colorado",2081,67.7,12.9
69,1400000US08001009321,08001009321,"Census Tract 93.21, Adams County, Colorado",2864,65.4,3.1
70,1400000US08001009322,08001009322,"Census Tract 93.22, Adams County, Colorado",3110,59.4,11.4
71,1400000US08001009323,08001009323,"Census Tract 93.23, Adams County, Colorado",3037,67.1,9.4
72,1400000US08001009325,08001009325,"Census Tract 93.25, Adams County, Colorado",4314,65.0,10.6
73,1400000US08001009326,08001009326,"Census Tract 93.26, Adams County, Colorado",2190,68.9,4.6
74,1400000US08001009327,08001009327,"Census Tract 93.27, Adams County, Colorado",3182,64.9,10.2
75,1400000US08001009401,08001009401,"Census Tract 94.01, Adams County, Colorado",4133,57.5,14.4
76,1400000US08001009406,08001009406,"Census Tract 94.06, Adams County, Colorado",3643,64.8,6.6
77,1400000US08001009407,08001009407,"Census Tract 94.07, Adams County, Colorado",4438,64.3,14.1
78,1400000US08001009408,08001009408,"Census Tract 94.08, Adams County, Colorado",3281,77.0,2.3
79,1400000US08001009409,08001009409,"Census Tract 94.09, Adams County, Colorado",4466,66.0,2.7
80,1400000US08001009410,08001009410,"Census Tract 94.10, Adams County, Colorado",2553,58.2,5.2
81,1400000US08001009411,08001009411,"Census Tract 94.11, Adams County, Colorado",2489,69.3,6.5
82,1400000US08001009501,08001009501,"Census Tract 95.01, Adams County, Colorado",2283,68.1,6.1
83,1400000US08001009502,08001009502,"Census Tract 95.02, Adams County, Colorado",3599,59.9,10.5
84,1400000US08001009553,08001009553,"Census Tract 95.53, Adams County, Colorado",2378,62.0,9.5
85,1400000US08001009603,08001009603,"Census Tract 96.03, Adams County, Colorado",4378,64.4,9.1
86,1400000US08001009604,08001009604,"Census Tract 96.04, Adams County, Colorado",3670,55.1,16.0
87,1400000US08001009606,08001009606,"Census Tract 96.06, Adams County, Colorado",2178,60.1,9.4
88,1400000US08001009607,08001009607,"Census Tract 96.07, Adams County, Colorado",4084,58.3,13.8
89,1400000US08001009608,08001009608,"Census Tract 96.08, Adams County, Colorado",2716,69.5,8.1
90,1400000US08001009751,08001009751,"Census Tract 97.51, Adams County, Colorado",2961,64.3,10.2
91,1400000US08001009752,08001009752,"Census Tract 97.52, Adams County, Colorado",2379,58.9,9.6
92,1400000US08001015000,08001015000,"Census Tract 150, Adams County, Colorado",2211,49.5,15.7
93,1400000US08001060000,08001060000,"Census Tract 600, Adams County, Colorado",3635,76.8,5.9
94,1400000US08001060100,08001060100,"Census Tract 601, Adams County, Colorado",5242,62.5,7.4
95,1400000US08001060200,08001060200,"Census Tract 602, Adams County, Colorado",2829,74.8,7.4
96,1400000US08001061200,08001061200,"Census Tract 612, Adams County, Colorado",1165,81.5,6.5
97,1400000US08001988700,08001988700,"Census Tract 9887, Adams County, Colorado",0,-,-
