GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,EMP,UNEMP
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,No of Employment,No of Unemployment
1400000US08005007704,8005007704,"Census Tract 77.04, Arapahoe County, Colorado",3441,67.2,9,2312,6
1400000US08005015100,8005015100,"Census Tract 151, Arapahoe County, Colorado",2104,69.8,6.4,1469,4
1400000US08005080000,8005080000,"Census Tract 800, Arapahoe County, Colorado",2573,58.5,13.3,1505,8
1400000US08005080100,8005080100,"Census Tract 801, Arapahoe County, Colorado",3578,60.6,15.3,2168,9
1400000US08005080200,8005080200,"Census Tract 802, Arapahoe County, Colorado",4490,55.7,9.6,2501,5
1400000US08005080300,8005080300,"Census Tract 803, Arapahoe County, Colorado",4524,65.8,5.3,2977,3
1400000US08005080400,8005080400,"Census Tract 804, Arapahoe County, Colorado",3963,70.4,5.8,2790,4
1400000US08005080500,8005080500,"Census Tract 805, Arapahoe County, Colorado",3103,65.2,5.5,2023,4
1400000US08005080600,8005080600,"Census Tract 806, Arapahoe County, Colorado",2717,77,3.9,2092,3
1400000US08005080700,8005080700,"Census Tract 807, Arapahoe County, Colorado",4271,60.6,7.9,2588,5
1400000US08005080800,8005080800,"Census Tract 808, Arapahoe County, Colorado",2297,62.6,7.6,1438,5
1400000US08005080900,8005080900,"Census Tract 809, Arapahoe County, Colorado",3266,62.2,9.3,2031,6
1400000US08005081000,8005081000,"Census Tract 810, Arapahoe County, Colorado",4426,57.5,15.5,2545,9
1400000US08005081100,8005081100,"Census Tract 811, Arapahoe County, Colorado",4596,69.3,12.3,3185,9
1400000US08005081200,8005081200,"Census Tract 812, Arapahoe County, Colorado",3336,65.6,10.1,2188,7
1400000US08005081300,8005081300,"Census Tract 813, Arapahoe County, Colorado",2542,63,9.5,1601,6
1400000US08005081400,8005081400,"Census Tract 814, Arapahoe County, Colorado",3429,44.2,15,1516,7
1400000US08005081500,8005081500,"Census Tract 815, Arapahoe County, Colorado",2982,19.6,2,584,0
1400000US08005081600,8005081600,"Census Tract 816, Arapahoe County, Colorado",3989,56,12.4,2234,7
1400000US08005081700,8005081700,"Census Tract 817, Arapahoe County, Colorado",2328,64.5,3,1502,2
1400000US08005081800,8005081800,"Census Tract 818, Arapahoe County, Colorado",3796,63.5,11.6,2410,7
1400000US08005081900,8005081900,"Census Tract 819, Arapahoe County, Colorado",4718,57.4,10.7,2708,6
1400000US08005082000,8005082000,"Census Tract 820, Arapahoe County, Colorado",2973,72.8,7.9,2164,6
1400000US08005082100,8005082100,"Census Tract 821, Arapahoe County, Colorado",5030,66,9.6,3320,6
1400000US08005082200,8005082200,"Census Tract 822, Arapahoe County, Colorado",4851,63.9,7.9,3100,5
1400000US08005082300,8005082300,"Census Tract 823, Arapahoe County, Colorado",2765,69.9,9.3,1933,7
1400000US08005082400,8005082400,"Census Tract 824, Arapahoe County, Colorado",3548,65.1,9.6,2310,6
1400000US08005082500,8005082500,"Census Tract 825, Arapahoe County, Colorado",1727,68.3,6.6,1180,5
1400000US08005082600,8005082600,"Census Tract 826, Arapahoe County, Colorado",3600,75.3,8.4,2711,6
1400000US08005082700,8005082700,"Census Tract 827, Arapahoe County, Colorado",2795,62.3,10.7,1741,7
1400000US08005082800,8005082800,"Census Tract 828, Arapahoe County, Colorado",3921,67.5,10.2,2647,7
1400000US08005082900,8005082900,"Census Tract 829, Arapahoe County, Colorado",3400,67.9,8.9,2309,6
1400000US08005083000,8005083000,"Census Tract 830, Arapahoe County, Colorado",2766,58.6,5.3,1621,3
1400000US08005083100,8005083100,"Census Tract 831, Arapahoe County, Colorado",4903,78.8,6,3864,5
1400000US08005083200,8005083200,"Census Tract 832, Arapahoe County, Colorado",6303,73.3,10,4620,7
1400000US08005083300,8005083300,"Census Tract 833, Arapahoe County, Colorado",3897,69,5.3,2689,4
1400000US08005083400,8005083400,"Census Tract 834, Arapahoe County, Colorado",5185,73.8,4,3827,3
1400000US08005083500,8005083500,"Census Tract 835, Arapahoe County, Colorado",4406,69.2,7.2,3049,5
1400000US08005083600,8005083600,"Census Tract 836, Arapahoe County, Colorado",3025,69.4,7.9,2099,5
1400000US08005083700,8005083700,"Census Tract 837, Arapahoe County, Colorado",3595,57.2,6.4,2056,4
1400000US08005083800,8005083800,"Census Tract 838, Arapahoe County, Colorado",2414,65.1,11.3,1572,7
1400000US08005083900,8005083900,"Census Tract 839, Arapahoe County, Colorado",2525,65,5.9,1641,4
1400000US08005084000,8005084000,"Census Tract 840, Arapahoe County, Colorado",1910,66.3,10.4,1266,7
1400000US08005084100,8005084100,"Census Tract 841, Arapahoe County, Colorado",3392,69.4,12.8,2354,9
1400000US08005084200,8005084200,"Census Tract 842, Arapahoe County, Colorado",2983,69.4,6.6,2070,5
1400000US08005084300,8005084300,"Census Tract 843, Arapahoe County, Colorado",2573,70.9,9.8,1824,7
1400000US08005084400,8005084400,"Census Tract 844, Arapahoe County, Colorado",2379,67.3,9.2,1601,6
1400000US08005084500,8005084500,"Census Tract 845, Arapahoe County, Colorado",2318,71.3,4.8,1653,3
1400000US08005084600,8005084600,"Census Tract 846, Arapahoe County, Colorado",4148,66.1,9,2742,6
1400000US08005084700,8005084700,"Census Tract 847, Arapahoe County, Colorado",3719,65.6,9.6,2440,6
1400000US08005084800,8005084800,"Census Tract 848, Arapahoe County, Colorado",2847,76.8,6.8,2186,5
1400000US08005084900,8005084900,"Census Tract 849, Arapahoe County, Colorado",2716,67.5,7.7,1833,5
1400000US08005085000,8005085000,"Census Tract 850, Arapahoe County, Colorado",1331,79.9,4.3,1063,3
1400000US08005085100,8005085100,"Census Tract 851, Arapahoe County, Colorado",4953,66.9,5.4,3314,4
1400000US08005085200,8005085200,"Census Tract 852, Arapahoe County, Colorado",2262,61.3,2.4,1387,1
1400000US08005085300,8005085300,"Census Tract 853, Arapahoe County, Colorado",1887,72.5,5.1,1368,4
1400000US08005085400,8005085400,"Census Tract 854, Arapahoe County, Colorado",3503,74.7,5.7,2617,4
1400000US08005085500,8005085500,"Census Tract 855, Arapahoe County, Colorado",4162,72.1,4.5,3001,3
1400000US08005085600,8005085600,"Census Tract 856, Arapahoe County, Colorado",2592,76.7,1.8,1988,1
1400000US08005085700,8005085700,"Census Tract 857, Arapahoe County, Colorado",3303,74.2,7.4,2451,5
1400000US08005085800,8005085800,"Census Tract 858, Arapahoe County, Colorado",1421,68.1,3.3,968,2
1400000US08005085900,8005085900,"Census Tract 859, Arapahoe County, Colorado",2675,71,7.4,1899,5
1400000US08005086000,8005086000,"Census Tract 860, Arapahoe County, Colorado",5685,68,8.5,3866,6
1400000US08005086100,8005086100,"Census Tract 861, Arapahoe County, Colorado",3555,75.4,5.4,2680,4
1400000US08005086200,8005086200,"Census Tract 862, Arapahoe County, Colorado",4557,74.8,4.9,3409,4
1400000US08005086300,8005086300,"Census Tract 863, Arapahoe County, Colorado",3254,78,1.9,2538,1
1400000US08005086400,8005086400,"Census Tract 864, Arapahoe County, Colorado",1818,65.8,2.9,1196,2
1400000US08005086500,8005086500,"Census Tract 865, Arapahoe County, Colorado",4022,71,2.9,2856,2
1400000US08005086600,8005086600,"Census Tract 866, Arapahoe County, Colorado",4553,49.5,2.8,2254,1
1400000US08005086700,8005086700,"Census Tract 867, Arapahoe County, Colorado",2626,74,3.4,1943,3
1400000US08005086800,8005086800,"Census Tract 868, Arapahoe County, Colorado",4905,72.5,6,3556,4
1400000US08005086900,8005086900,"Census Tract 869, Arapahoe County, Colorado",2427,74.9,6.3,1818,5
1400000US08005087000,8005087000,"Census Tract 870, Arapahoe County, Colorado",4145,74.7,8.5,3096,6
1400000US08005087100,8005087100,"Census Tract 871, Arapahoe County, Colorado",2255,56,19.9,1263,11
1400000US08005087200,8005087200,"Census Tract 872, Arapahoe County, Colorado",3493,66.6,8.8,2326,6
1400000US08005087300,8005087300,"Census Tract 873, Arapahoe County, Colorado",6159,70.9,8.8,4367,6
1400000US08007940400,8007940400,"Census Tract 9404, Archuleta County, Colorado",1133,51.6,14.2,585,7
1400000US08007974200,8007974200,"Census Tract 9742, Archuleta County, Colorado",4539,52.8,7.3,2397,4
1400000US08007974300,8007974300,"Census Tract 9743, Archuleta County, Colorado",2786,48.1,10.7,1340,5
1400000US08007974400,8007974400,"Census Tract 9744, Archuleta County, Colorado",1852,64,3.7,1185,2
1400000US08009964600,8009964600,"Census Tract 9646, Baca County, Colorado",1348,56.6,3.5,763,2
1400000US08009964700,8009964700,"Census Tract 9647, Baca County, Colorado",1660,56.6,5.3,940,3
1400000US08011966700,8011966700,"Census Tract 9667, Bent County, Colorado",5057,24,8.3,1214,2
1400000US08013012101,8013012101,"Census Tract 121.01, Boulder County, Colorado",3836,71.8,4.1,2754,3
1400000US08013012102,8013012102,"Census Tract 121.02, Boulder County, Colorado",6213,69,8.8,4287,6
1400000US08013012103,8013012103,"Census Tract 121.03, Boulder County, Colorado",3208,68.8,5,2207,3
1400000US08013012104,8013012104,"Census Tract 121.04, Boulder County, Colorado",2115,65.6,2.3,1387,2
1400000US08013012105,8013012105,"Census Tract 121.05, Boulder County, Colorado",4436,73.7,2.1,3269,2
1400000US08013012201,8013012201,"Census Tract 122.01, Boulder County, Colorado",3411,60.7,10.7,2070,6
1400000US08013012202,8013012202,"Census Tract 122.02, Boulder County, Colorado",6240,69.7,5.5,4349,4
1400000US08013012203,8013012203,"Census Tract 122.03, Boulder County, Colorado",5825,73.7,4,4293,3
1400000US08013012204,8013012204,"Census Tract 122.04, Boulder County, Colorado",3559,62.8,9.7,2235,6
1400000US08013012300,8013012300,"Census Tract 123, Boulder County, Colorado",6632,35,16.9,2321,6
1400000US08013012401,8013012401,"Census Tract 124.01, Boulder County, Colorado",6090,48.4,9.7,2948,5
1400000US08013012501,8013012501,"Census Tract 125.01, Boulder County, Colorado",2223,68,4.4,1512,3
1400000US08013012505,8013012505,"Census Tract 125.05, Boulder County, Colorado",3249,62.2,5.9,2021,4
1400000US08013012507,8013012507,"Census Tract 125.07, Boulder County, Colorado",3881,66.1,7.5,2565,5
1400000US08013012508,8013012508,"Census Tract 125.08, Boulder County, Colorado",2628,77,5.5,2024,4
1400000US08013012509,8013012509,"Census Tract 125.09, Boulder County, Colorado",2914,61.5,4,1792,2
1400000US08013012510,8013012510,"Census Tract 125.10, Boulder County, Colorado",3888,68,4.3,2644,3
1400000US08013012511,8013012511,"Census Tract 125.11, Boulder County, Colorado",5361,47.1,6.7,2525,3
1400000US08013012603,8013012603,"Census Tract 126.03, Boulder County, Colorado",2785,69.3,4.3,1930,3
1400000US08013012605,8013012605,"Census Tract 126.05, Boulder County, Colorado",1613,62.2,6.1,1003,4
1400000US08013012607,8013012607,"Census Tract 126.07, Boulder County, Colorado",4841,60.3,8.3,2919,5
1400000US08013012608,8013012608,"Census Tract 126.08, Boulder County, Colorado",2204,70.5,4,1554,3
1400000US08013012701,8013012701,"Census Tract 127.01, Boulder County, Colorado",4684,70,2.3,3279,2
1400000US08013012705,8013012705,"Census Tract 127.05, Boulder County, Colorado",3353,77,4.2,2582,3
