,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
0,33.0,450.9875633675588,9538.580509863035,2198.983909552333,62231.91513216694,246.68998135940976,1414.705418610086,1332.0137655367002,50966.51223922016,169.2925992886647,312.11696447366467
1,34.0,564.7825498983982,1452.5714012441263,2595.3349376945307,164111.36395073403,230.63842983594273,7149.600304550927,1623.1677610923757,155006.19623428138,176.74619686781395,502.9960106575795
2,35.0,1379.3874695346724,6631.849480108491,5274.865307736391,63628.22989953916,420.8744503934829,5882.430850423236,3022.369731108126,49275.48085565769,452.2336567001088,1838.4687133497387
3,36.0,0.09544236053281437,0.0,0.19088472106562873,10.914854490332232,0.09544236053281437,0.4772118026640718,0.0,10.437642687668161,0.0,0.0
4,37.0,596.0210320804227,21577.8022041193,2443.216686196262,89745.19166149385,288.76126663983354,2859.7746001473,1358.5033400280902,64845.59126626133,199.93104744791555,462.0235909659009
5,38.0,1521.4790364361863,218.48889084340442,6619.843439789887,7286.992257120512,741.9140483653509,3103.4734703717395,3878.8262794655925,3612.7005628226593,477.6240755227587,352.32933308270924
6,39.0,354.9774761875866,1972.9576058765242,2299.3232421738107,65534.740007210894,238.65379525592553,10675.056955385147,1608.9599567386836,51643.99451939416,96.73201399161493,1242.7309265550725
7,40.0,887.4065030882389,158.86061831839763,4164.930937332614,23726.486400491613,375.43054910302016,2412.374792937894,2520.5475606714767,20288.542487065475,381.5463244698789,866.7085021698445
8,41.0,473.5769787526994,4478.318876509045,2363.4107864535094,72947.13032684277,308.88966198140236,9230.752551177584,1379.6535474315185,58154.51736334273,201.29059828789008,1083.5415358134264
9,42.0,2335.071903685635,218.7431044384166,9246.511690995392,18482.152219094736,852.2205024349315,5950.552818421819,5273.953736826471,11921.58306736502,785.2655480483559,391.27322886947536
10,43.0,411.16264619614935,208.65888950580725,1798.9768184227287,154675.45589702978,178.00389739146146,17394.595066577334,1058.58933244601,135553.721923977,151.22094238910776,1518.4800169696139
11,44.0,226.93811538571333,223.90150306606813,1108.6587481555896,137440.12364041273,124.55326144516881,17374.69343381779,667.4724358314232,118568.63382383679,89.69493549328428,1272.894879692107
12,45.0,337.57995109252386,1990.772298133247,1680.3049618479017,214707.002844079,162.44914492113546,14830.012387452376,1064.6068391340136,196592.94181854255,115.66902670022886,1293.2763399507835
13,46.0,603.4840345296859,119939.65842307938,2191.797776343849,127579.38665102069,283.20198234666424,481.0240514459189,1080.024397210746,6975.767356651096,225.08736225675187,182.93681984430202
14,47.0,1618.2098751276424,29878.840807757264,6821.937236996033,44940.19624894099,849.6797080898011,2203.064882291481,3805.070498945219,12524.353021357867,548.9771548333713,333.93753753438153
15,48.0,678.1871049957961,188.36776220684538,3030.1343251979597,157513.0121375925,277.5512762713817,12462.691134997078,1897.8010979553503,144147.34915163336,176.59484597543226,714.6040887552367
16,49.0,925.9964438367065,786.1209193152188,4233.105382879012,196854.31972891753,395.87744211583004,7085.117515368396,2674.879713280718,188245.68894899226,236.3517836457574,737.3923452416312
17,50.0,706.2113318731889,15862.378036685941,3198.8847617484466,183958.375149209,256.0575019199173,9433.437080564985,2013.0392888248412,157648.5584842526,223.57663913049922,1014.0015477055153
18,51.0,0.0,187.7355943091047,11.697056001548756,20270.6281887154,0.0,2189.2876695399946,11.697056001548756,17835.507648145034,0.0,58.0972767212683
19,52.0,629.9698003728905,470.0054330897672,2773.0301019617737,45606.09063008578,310.5161788220915,17092.85866445282,1658.2106789424545,26760.58760886495,174.33344382433793,1282.638923678234
20,53.0,448.69312746922054,91.88385601950408,2237.7024880848444,29555.806695171108,222.330827564635,14025.180740464528,1368.747612245451,14177.902173273642,197.93092080553822,1260.8399254134374
