,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
0,79.0,481.4516941259109,2055.0709759676174,2288.7631291317334,66891.44495597472,378.5491015070132,28036.16895514135,1261.542085505158,31577.7160156089,167.22024799365116,5222.4890092568285
1,80.0,737.2668490899141,722.5220277218092,3853.545874418459,32902.13668539662,741.6879826285724,7858.760191791049,2143.8298299027983,20639.320309872353,230.76121279717464,3681.534156011408
2,81.0,1440.6588004249973,388.12015663286826,6253.319613651331,8758.848388493123,1552.2800192886489,5580.146649332385,2664.330096937993,1659.2611635452008,596.0506969996921,1131.3204189826693
3,82.0,524.4281943437286,2440.2890069254286,2852.4128112822555,61461.414528404224,598.5783545889319,20894.66936292562,1395.4524985492735,33727.319248204796,333.95376380032195,4399.136910348383
4,83.0,321.5986446633684,1627.0138377147628,1693.2653015063345,50071.737988302455,377.67943604840605,12463.961445775854,881.1034307307874,32611.937197587093,112.88379006377284,3368.825507224738
5,84.0,648.6246622974456,1540.6120792050745,3182.38053835393,49103.77436773159,679.9119175458143,13148.979716150514,1514.217764564302,30288.20790965139,339.6261939463685,4125.974662724601
6,85.0,1218.5336804786518,1296.3337421483016,4426.483486577794,1764.0544854337966,723.7970648477105,150.62367199217172,2044.0973796531393,186.1089572954231,440.05536159829234,130.98811399790043
7,86.0,1969.166745813894,274.43697211371995,10080.601110536112,8885.803230108639,2002.4932916467665,2620.2184779415306,5175.190982583999,4872.88464941985,933.7500904914531,1118.2631306335384
8,87.0,2420.3179408211577,3401.2102814142577,9643.839657797253,5517.698762032674,1760.1567115686014,1388.9691783636151,4507.966549835253,546.3863803841958,955.3984555722403,181.13292187060415
9,88.0,280.93146906474897,2101.1486544386776,1455.7569384002766,23836.993142182684,282.5061624717465,2459.7986046472643,742.8247724631632,12812.557956178043,149.49453440061777,6463.487926918697
10,89.0,1387.6867314442236,1337.3462889483494,5356.17192762717,6666.0862845104875,875.0023619035305,1791.2320812646885,2587.8232086336457,1876.4832869113418,505.6596256457707,1661.0246273861067
11,90.0,720.0658334689621,935.4453606149673,2872.2011803059927,13971.934400781522,393.00536826665694,4366.178061655346,1489.5219096177188,4183.765314699309,269.6080689526543,4486.5456638118985
12,91.0,64.84513947325752,894.7762298809957,188.04042709948186,22542.238353057164,32.91842681858873,4223.44089279829,79.48856693655715,6364.175248688371,10.788293871078485,11059.845981689503
13,92.0,1323.925752026303,1832.9224466419823,5943.750055338563,6371.895569390532,890.5302642549916,745.5658583817086,3215.4835591757446,3525.807557698614,513.8104798815236,267.5997066682283
14,93.0,2272.395017817485,1626.4189745003503,10557.973663141447,5886.189024720641,1547.7640604106764,1665.8356296802997,5544.120291399656,1969.3846407210249,1193.6942935136278,624.549779818966
15,94.0,105.87298856214497,10014.993535479938,382.205000227738,28065.643506487366,61.373097751064854,1809.7107716732728,172.1757928596428,11707.12977249189,42.783121054885406,4533.809426842264
16,95.0,797.8165693727705,49.499204898204894,3479.4090747007353,680.8396353311621,688.7247932761987,18.584396390213865,1589.1471522312083,612.7560340427434,403.7205598205581,0.0
