GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US08001009408,08001009408,"Census Tract 94.08, Adams County, Colorado",4343,292,3650,283,89,61,20,19,389,228,0,11,34,52,161,119,0,11,161,119
1400000US08001009409,08001009409,"Census Tract 94.09, Adams County, Colorado",5674,438,4748,458,53,62,146,198,289,103,0,16,362,480,76,118,0,16,76,118
1400000US08001009410,08001009410,"Census Tract 94.10, Adams County, Colorado",2993,249,2719,242,32,33,0,11,68,74,7,10,37,41,130,94,0,11,130,94
1400000US08001009411,08001009411,"Census Tract 94.11, Adams County, Colorado",2990,273,2771,280,19,19,36,67,45,69,0,11,50,49,69,44,21,24,48,42
1400000US08001009501,08001009501,"Census Tract 95.01, Adams County, Colorado",3182,313,2422,255,17,20,150,183,120,131,0,11,324,200,149,104,71,80,78,67
1400000US08001009502,08001009502,"Census Tract 95.02, Adams County, Colorado",4452,364,3649,421,10,18,28,45,121,104,0,11,491,229,153,85,32,54,121,72
1400000US08001009553,08001009553,"Census Tract 95.53, Adams County, Colorado",2989,417,2247,407,59,84,60,76,37,30,0,11,339,209,247,178,62,74,185,161
1400000US08001009603,08001009603,"Census Tract 96.03, Adams County, Colorado",5849,471,5080,518,163,113,36,58,106,104,0,16,327,214,137,88,32,43,105,70
1400000US08001009604,08001009604,"Census Tract 96.04, Adams County, Colorado",4430,357,3640,428,118,102,0,11,76,82,0,11,431,279,165,83,24,28,141,73
1400000US08001009606,08001009606,"Census Tract 96.06, Adams County, Colorado",2867,388,2466,443,11,19,104,112,5,10,13,20,248,210,20,32,0,11,20,32
1400000US08001009607,08001009607,"Census Tract 96.07, Adams County, Colorado",5282,462,4202,501,62,56,30,31,445,153,0,16,324,220,219,117,62,60,157,104
1400000US08001009608,08001009608,"Census Tract 96.08, Adams County, Colorado",3078,18,2569,285,24,32,49,53,149,107,0,11,211,253,76,60,7,15,69,56
1400000US08001009751,08001009751,"Census Tract 97.51, Adams County, Colorado",3631,478,3251,415,27,41,18,21,0,11,0,11,300,297,35,31,6,10,29,29
1400000US08001009752,08001009752,"Census Tract 97.52, Adams County, Colorado",2991,290,2196,253,74,80,46,39,239,113,0,11,351,215,85,52,36,26,49,42
1400000US08001015000,08001015000,"Census Tract 150, Adams County, Colorado",2892,315,2658,351,0,11,21,24,0,11,0,11,73,96,140,144,0,11,140,144
1400000US08001060000,08001060000,"Census Tract 600, Adams County, Colorado",5000,277,4405,357,65,103,57,69,272,201,0,16,137,164,64,69,5,9,59,68
1400000US08001060100,08001060100,"Census Tract 601, Adams County, Colorado",7242,407,6075,585,170,145,0,16,614,497,0,16,101,103,282,199,62,96,220,181
1400000US08001060200,08001060200,"Census Tract 602, Adams County, Colorado",3571,256,2963,266,51,49,0,11,294,210,27,33,58,55,178,200,0,11,178,200
1400000US08001061200,08001061200,"Census Tract 612, Adams County, Colorado",1605,171,1509,175,8,13,0,11,40,37,0,11,28,27,20,27,0,11,20,27
1400000US08001988700,08001988700,"Census Tract 9887, Adams County, Colorado",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US08003960000,08003960000,"Census Tract 9600, Alamosa County, Colorado",1487,213,1359,210,0,11,25,36,5,8,0,11,51,42,47,39,5,6,42,39
1400000US08003960100,08003960100,"Census Tract 9601, Alamosa County, Colorado",2938,311,2668,314,0,11,31,29,54,61,0,11,104,71,81,64,22,32,59,52
1400000US08003960200,08003960200,"Census Tract 9602, Alamosa County, Colorado",7078,465,6205,493,156,74,132,108,158,118,8,16,240,123,179,132,19,34,160,116
1400000US08003960300,08003960300,"Census Tract 9603, Alamosa County, Colorado",4766,396,3927,394,147,115,139,136,72,112,10,20,352,177,119,82,41,46,78,66
1400000US08005004951,08005004951,"Census Tract 49.51, Arapahoe County, Colorado",2060,215,1519,255,106,106,39,45,104,87,16,27,243,109,33,37,0,11,33,37
1400000US08005004952,08005004952,"Census Tract 49.52, Arapahoe County, Colorado",2684,217,1918,227,194,153,0,11,176,138,0,11,333,147,63,51,0,11,63,51
1400000US08005005551,08005005551,"Census Tract 55.51, Arapahoe County, Colorado",3581,437,2023,495,222,146,2,4,68,65,0,11,1136,497,130,150,10,17,120,150
1400000US08005005552,08005005552,"Census Tract 55.52, Arapahoe County, Colorado",2516,319,1948,334,0,11,73,71,0,11,0,11,297,220,198,128,63,89,135,114
1400000US08005005553,08005005553,"Census Tract 55.53, Arapahoe County, Colorado",3796,350,3057,408,300,173,12,21,93,77,0,11,112,72,222,157,158,149,64,49
1400000US08005005611,08005005611,"Census Tract 56.11, Arapahoe County, Colorado",4830,412,4346,358,80,77,37,40,131,106,0,11,25,39,211,123,129,109,82,57
1400000US08005005612,08005005612,"Census Tract 56.12, Arapahoe County, Colorado",3834,240,3506,303,10,16,25,28,90,93,0,11,82,61,121,94,0,11,121,94
1400000US08005005614,08005005614,"Census Tract 56.14, Arapahoe County, Colorado",3364,303,3143,327,26,37,33,40,54,52,0,11,64,72,44,43,0,11,44,43
1400000US08005005619,08005005619,"Census Tract 56.19, Arapahoe County, Colorado",4589,263,4307,281,0,11,0,11,94,87,0,11,98,86,90,62,15,22,75,47
1400000US08005005620,08005005620,"Census Tract 56.20, Arapahoe County, Colorado",2745,236,2519,249,17,18,8,12,147,108,0,11,21,23,33,33,9,14,24,37
1400000US08005005621,08005005621,"Census Tract 56.21, Arapahoe County, Colorado",3203,211,3072,199,0,11,7,12,14,22,0,11,0,11,110,92,0,11,110,92
1400000US08005005622,08005005622,"Census Tract 56.22, Arapahoe County, Colorado",2349,132,2198,142,28,29,0,11,66,36,0,11,47,56,10,9,0,11,10,9
1400000US08005005623,08005005623,"Census Tract 56.23, Arapahoe County, Colorado",4121,255,3958,270,1,3,13,19,63,60,0,11,35,53,51,45,17,19,34,40
1400000US08005005624,08005005624,"Census Tract 56.24, Arapahoe County, Colorado",2344,179,2135,192,141,137,0,11,11,12,0,11,5,7,52,57,0,11,52,57
1400000US08005005625,08005005625,"Census Tract 56.25, Arapahoe County, Colorado",3000,180,2839,205,15,24,0,11,16,28,20,28,61,53,49,41,32,36,17,22
1400000US08005005626,08005005626,"Census Tract 56.26, Arapahoe County, Colorado",3736,301,3540,274,0,11,1,5,19,24,0,11,108,133,68,58,0,11,68,58
1400000US08005005627,08005005627,"Census Tract 56.27, Arapahoe County, Colorado",4509,259,4249,272,1,3,3,7,77,54,0,11,40,46,139,84,9,12,130,84
1400000US08005005628,08005005628,"Census Tract 56.28, Arapahoe County, Colorado",5661,296,5266,327,41,42,21,32,128,83,0,16,154,81,51,56,0,16,51,56
1400000US08005005629,08005005629,"Census Tract 56.29, Arapahoe County, Colorado",2413,95,2309,118,12,15,0,11,61,45,0,11,0,11,31,32,0,11,31,32
1400000US08005005630,08005005630,"Census Tract 56.30, Arapahoe County, Colorado",5263,304,5018,311,124,104,2,5,0,16,0,16,71,105,48,58,0,16,48,58
1400000US08005005631,08005005631,"Census Tract 56.31, Arapahoe County, Colorado",3337,248,3122,272,36,36,22,26,18,22,0,11,37,38,102,84,0,11,102,84
1400000US08005005632,08005005632,"Census Tract 56.32, Arapahoe County, Colorado",3317,213,2951,243,205,229,0,11,96,68,0,11,30,41,35,43,0,11,35,43
1400000US08005005633,08005005633,"Census Tract 56.33, Arapahoe County, Colorado",3177,180,2945,204,29,37,0,11,71,81,0,11,66,85,66,49,0,11,66,49
1400000US08005005634,08005005634,"Census Tract 56.34, Arapahoe County, Colorado",3089,219,2893,228,25,32,27,23,104,64,0,11,40,38,0,11,0,11,0,11
1400000US08005005635,08005005635,"Census Tract 56.35, Arapahoe County, Colorado",5209,337,4855,366,96,89,0,16,258,254,0,16,0,16,0,16,0,16,0,16
1400000US08005005636,08005005636,"Census Tract 56.36, Arapahoe County, Colorado",2000,142,1931,141,25,38,0,11,44,37,0,11,0,11,0,11,0,11,0,11
1400000US08005005700,08005005700,"Census Tract 57, Arapahoe County, Colorado",3628,303,3105,492,64,52,0,11,44,30,0,11,338,319,77,45,0,11,77,45
1400000US08005005800,08005005800,"Census Tract 58, Arapahoe County, Colorado",2417,184,2098,214,67,68,0,11,0,11,0,11,66,62,186,106,52,77,134,79
1400000US08005005951,08005005951,"Census Tract 59.51, Arapahoe County, Colorado",4399,412,3766,444,120,100,16,25,46,54,0,11,99,86,352,217,13,22,339,215
1400000US08005005952,08005005952,"Census Tract 59.52, Arapahoe County, Colorado",3133,277,2683,303,142,156,0,11,113,96,0,11,77,53,118,92,0,11,118,92
1400000US08005006000,08005006000,"Census Tract 60, Arapahoe County, Colorado",2714,331,2189,310,0,11,18,21,38,31,0,11,359,432,110,58,8,12,102,59
1400000US08005006100,08005006100,"Census Tract 61, Arapahoe County, Colorado",2895,254,2567,348,210,201,9,15,47,44,0,11,20,27,42,37,7,13,35,35
1400000US08005006200,08005006200,"Census Tract 62, Arapahoe County, Colorado",3102,243,2700,232,6,12,0,11,103,100,0,11,31,28,262,192,22,31,240,189
1400000US08005006300,08005006300,"Census Tract 63, Arapahoe County, Colorado",2416,200,2209,199,20,19,0,11,37,35,0,11,35,30,115,87,0,11,115,87
1400000US08005006400,08005006400,"Census Tract 64, Arapahoe County, Colorado",3328,319,2443,256,57,38,16,19,24,35,0,11,717,303,71,77,5,10,66,74
1400000US08005006501,08005006501,"Census Tract 65.01, Arapahoe County, Colorado",2144,213,1827,221,37,29,29,27,68,56,36,41,30,37,117,87,0,11,117,87
1400000US08005006502,08005006502,"Census Tract 65.02, Arapahoe County, Colorado",3460,192,3288,217,35,55,0,11,0,11,0,11,0,11,137,87,8,13,129,85
1400000US08005006601,08005006601,"Census Tract 66.01, Arapahoe County, Colorado",5339,524,4343,464,267,300,39,64,163,211,0,16,226,178,301,131,25,39,276,127
1400000US08005006603,08005006603,"Census Tract 66.03, Arapahoe County, Colorado",3511,202,3203,211,16,26,47,76,67,63,0,11,18,20,160,152,17,20,143,152
1400000US08005006604,08005006604,"Census Tract 66.04, Arapahoe County, Colorado",4111,244,3823,230,33,38,26,65,0,11,0,11,110,93,119,85,75,67,44,44
1400000US08005006704,08005006704,"Census Tract 67.04, Arapahoe County, Colorado",4509,128,3928,285,209,222,9,17,227,157,0,11,10,16,126,97,0,11,126,97
1400000US08005006705,08005006705,"Census Tract 67.05, Arapahoe County, Colorado",1820,127,1730,145,20,19,0,11,0,11,0,11,13,20,57,68,0,11,57,68
1400000US08005006706,08005006706,"Census Tract 67.06, Arapahoe County, Colorado",5022,307,4537,299,0,16,25,40,289,224,0,16,104,95,67,82,0,16,67,82
