30th & Diagonal Highway,Oct-17,126
30th & Diagonal Highway,Sep-17,162
30th & Glenwood,Apr-17,201
30th & Glenwood,Aug-17,229
30th & Glenwood,Dec-17,130
30th & Glenwood,Feb-17,155
30th & Glenwood,Jan-17,140
30th & Glenwood,Jul-17,262
30th & Glenwood,Jun-17,171
30th & Glenwood,Mar-17,207
30th & Glenwood,May-17,136
30th & Glenwood,Nov-17,160
30th & Glenwood,Oct-17,209
30th & Glenwood,Sep-17,252
30th & Marine,Apr-17,245
30th & Marine,Aug-17,380
30th & Marine,Dec-17,167
30th & Marine,Feb-17,173
30th & Marine,Jan-17,113
30th & Marine,Jul-17,381
30th & Marine,Jun-17,407
30th & Marine,Mar-17,278
30th & Marine,May-17,250
30th & Marine,Nov-17,230
30th & Marine,Oct-17,241
30th & Marine,Sep-17,346
31st & Pearl,Apr-17,204
31st & Pearl,Aug-17,322
31st & Pearl,Dec-17,186
31st & Pearl,Feb-17,143
31st & Pearl,Jan-17,125
31st & Pearl,Jul-17,284
31st & Pearl,Jun-17,344
31st & Pearl,Mar-17,256
31st & Pearl,May-17,281
31st & Pearl,Nov-17,203
31st & Pearl,Oct-17,202
31st & Pearl,Sep-17,263
35th & Colorado,Apr-17,139
35th & Colorado,Aug-17,319
35th & Colorado,Dec-17,115
35th & Colorado,Feb-17,101
35th & Colorado,Jan-17,76
35th & Colorado,Jul-17,404
35th & Colorado,Jun-17,376
35th & Colorado,Mar-17,99
35th & Colorado,May-17,178
35th & Colorado,Nov-17,160
35th & Colorado,Oct-17,215
35th & Colorado,Sep-17,275
38th & Arapahoe,Apr-17,271
38th & Arapahoe,Aug-17,428
38th & Arapahoe,Dec-17,191
38th & Arapahoe,Feb-17,272
38th & Arapahoe,Jan-17,253
38th & Arapahoe,Jul-17,521
38th & Arapahoe,Jun-17,522
38th & Arapahoe,Mar-17,323
38th & Arapahoe,May-17,380
38th & Arapahoe,Nov-17,317
38th & Arapahoe,Oct-17,318
38th & Arapahoe,Sep-17,332
48th & Arapahoe,Apr-17,238
48th & Arapahoe,Aug-17,419
48th & Arapahoe,Dec-17,156
48th & Arapahoe,Feb-17,151
48th & Arapahoe,Jan-17,147
48th & Arapahoe,Jul-17,443
48th & Arapahoe,Jun-17,491
48th & Arapahoe,Mar-17,277
48th & Arapahoe,May-17,322
48th & Arapahoe,Nov-17,192
48th & Arapahoe,Oct-17,342
48th & Arapahoe,Sep-17,347
6th & Canyon,Apr-17,206
6th & Canyon,Aug-17,290
6th & Canyon,Dec-17,65
6th & Canyon,Feb-17,123
6th & Canyon,Jan-17,124
6th & Canyon,Jul-17,318
6th & Canyon,Jun-17,236
6th & Canyon,Mar-17,202
6th & Canyon,May-17,195
6th & Canyon,Nov-17,69
6th & Canyon,Oct-17,100
6th & Canyon,Sep-17,181
9th & Pearl,Apr-17,159
9th & Pearl,Aug-17,346
9th & Pearl,Dec-17,103
9th & Pearl,Feb-17,106
9th & Pearl,Jan-17,101
9th & Pearl,Jul-17,362
9th & Pearl,Jun-17,325
9th & Pearl,Mar-17,158
9th & Pearl,May-17,186
9th & Pearl,Nov-17,144
9th & Pearl,Oct-17,153
9th & Pearl,Sep-17,295
Broadway & Alpine,Apr-17,259
Broadway & Alpine,Aug-17,264
Broadway & Alpine,Dec-17,140
Broadway & Alpine,Feb-17,161
Broadway & Alpine,Jan-17,180
Broadway & Alpine,Jul-17,242
Broadway & Alpine,Jun-17,307
Broadway & Alpine,Mar-17,250
Broadway & Alpine,May-17,247
Broadway & Alpine,Nov-17,182
Broadway & Alpine,Oct-17,202
Broadway & Alpine,Sep-17,250
Broadway & Baseline,Apr-17,80
Broadway & Baseline,Aug-17,319
Broadway & Baseline,Dec-17,132
Broadway & Baseline,Feb-17,97
Broadway & Baseline,Jan-17,78
Broadway & Baseline,Jul-17,377
Broadway & Baseline,Jun-17,285
Broadway & Baseline,Mar-17,74
Broadway & Baseline,May-17,210
Broadway & Baseline,Nov-17,211
Broadway & Baseline,Oct-17,283
Broadway & Baseline,Sep-17,325
Broadway & Euclid,Apr-17,315
Broadway & Euclid,Aug-17,624
Broadway & Euclid,Dec-17,181
Broadway & Euclid,Feb-17,263
Broadway & Euclid,Jan-17,139
Broadway & Euclid,Jul-17,406
Broadway & Euclid,Jun-17,364
Broadway & Euclid,Mar-17,371
Broadway & Euclid,May-17,343
Broadway & Euclid,Nov-17,234
Broadway & Euclid,Oct-17,356
Broadway & Euclid,Sep-17,514
Broadway & Iris,Apr-17,85
Broadway & Iris,Aug-17,88
Broadway & Iris,Dec-17,52
Broadway & Iris,Feb-17,69
Broadway & Iris,Jan-17,47
Broadway & Iris,Jul-17,124
Broadway & Iris,Jun-17,120
Broadway & Iris,Mar-17,99
Broadway & Iris,May-17,97
Broadway & Iris,Nov-17,45
Broadway & Iris,Oct-17,54
Broadway & Iris,Sep-17,67
Broadway & University,Apr-17,164
Broadway & University,Aug-17,291
Broadway & University,Dec-17,136
