State,Station Name,Month,Ridership,Average Rain,Average Temp
CO,28th & Boulder Creek,Jul,513,1.6,72.9
CO,28th & Boulder Creek,Jun,415,2.1,67.1
CO,28th & Boulder Creek,Mar,202,1.7,41
CO,28th & Boulder Creek,May,257,3.1,57.9
CO,28th & Boulder Creek,Nov,174,1.1,40.6
CO,28th & Boulder Creek,Oct,298,1.2,52.9
CO,28th & Boulder Creek,Sep,492,1.5,62.2
CO,28th & Mapleton,Apr,324,2.5,49.1
CO,28th & Mapleton,Aug,548,1.5,70.9
CO,28th & Mapleton,Dec,201,0.7,33.4
CO,28th & Mapleton,Feb,179,0.8,35.8
CO,28th & Mapleton,Jan,149,0.7,32.5
CO,28th & Mapleton,Jul,554,1.6,72.9
CO,28th & Mapleton,Jun,548,2.1,67.1
CO,28th & Mapleton,Mar,403,1.7,41
CO,28th & Mapleton,May,322,3.1,57.9
CO,28th & Mapleton,Nov,405,1.1,40.6
CO,28th & Mapleton,Oct,453,1.2,52.9
CO,28th & Mapleton,Sep,469,1.5,62.2
CO,29th & Pearl,Apr,294,2.5,49.1
CO,29th & Pearl,Aug,320,1.5,70.9
CO,29th & Pearl,Dec,184,0.7,33.4
CO,29th & Pearl,Feb,160,0.8,35.8
CO,29th & Pearl,Jan,156,0.7,32.5
CO,29th & Pearl,Jul,331,1.6,72.9
CO,29th & Pearl,Jun,367,2.1,67.1
CO,29th & Pearl,Mar,243,1.7,41
CO,29th & Pearl,May,339,3.1,57.9
CO,29th & Pearl,Nov,168,1.1,40.6
CO,29th & Pearl,Oct,231,1.2,52.9
CO,29th & Pearl,Sep,263,1.5,62.2
CO,30th & Diagonal Highway,Apr,44,2.5,49.1
CO,30th & Diagonal Highway,Aug,172,1.5,70.9
CO,30th & Diagonal Highway,Dec,51,0.7,33.4
CO,30th & Diagonal Highway,Feb,33,0.8,35.8
CO,30th & Diagonal Highway,Jan,19,0.7,32.5
CO,30th & Diagonal Highway,Jul,142,1.6,72.9
CO,30th & Diagonal Highway,Jun,124,2.1,67.1
CO,30th & Diagonal Highway,Mar,52,1.7,41
CO,30th & Diagonal Highway,May,66,3.1,57.9
CO,30th & Diagonal Highway,Nov,70,1.1,40.6
CO,30th & Diagonal Highway,Oct,126,1.2,52.9
CO,30th & Diagonal Highway,Sep,162,1.5,62.2
CO,30th & Glenwood,Apr,201,2.5,49.1
CO,30th & Glenwood,Aug,229,1.5,70.9
CO,30th & Glenwood,Dec,130,0.7,33.4
CO,30th & Glenwood,Feb,155,0.8,35.8
CO,30th & Glenwood,Jan,140,0.7,32.5
CO,30th & Glenwood,Jul,262,1.6,72.9
CO,30th & Glenwood,Jun,171,2.1,67.1
CO,30th & Glenwood,Mar,207,1.7,41
CO,30th & Glenwood,May,136,3.1,57.9
CO,30th & Glenwood,Nov,160,1.1,40.6
CO,30th & Glenwood,Oct,209,1.2,52.9
CO,30th & Glenwood,Sep,252,1.5,62.2
CO,30th & Marine,Apr,245,2.5,49.1
CO,30th & Marine,Aug,380,1.5,70.9
CO,30th & Marine,Dec,167,0.7,33.4
CO,30th & Marine,Feb,173,0.8,35.8
CO,30th & Marine,Jan,113,0.7,32.5
CO,30th & Marine,Jul,381,1.6,72.9
CO,30th & Marine,Jun,407,2.1,67.1
CO,30th & Marine,Mar,278,1.7,41
CO,30th & Marine,May,250,3.1,57.9
CO,30th & Marine,Nov,230,1.1,40.6
CO,30th & Marine,Oct,241,1.2,52.9
CO,30th & Marine,Sep,346,1.5,62.2
CO,31st & Pearl,Apr,204,2.5,49.1
CO,31st & Pearl,Aug,322,1.5,70.9
CO,31st & Pearl,Dec,186,0.7,33.4
CO,31st & Pearl,Feb,143,0.8,35.8
CO,31st & Pearl,Jan,125,0.7,32.5
CO,31st & Pearl,Jul,284,1.6,72.9
CO,31st & Pearl,Jun,344,2.1,67.1
CO,31st & Pearl,Mar,256,1.7,41
CO,31st & Pearl,May,281,3.1,57.9
CO,31st & Pearl,Nov,203,1.1,40.6
CO,31st & Pearl,Oct,202,1.2,52.9
CO,31st & Pearl,Sep,263,1.5,62.2
CO,35th & Colorado,Apr,139,2.5,49.1
CO,35th & Colorado,Aug,319,1.5,70.9
CO,35th & Colorado,Dec,115,0.7,33.4
CO,35th & Colorado,Feb,101,0.8,35.8
CO,35th & Colorado,Jan,76,0.7,32.5
CO,35th & Colorado,Jul,404,1.6,72.9
CO,35th & Colorado,Jun,376,2.1,67.1
CO,35th & Colorado,Mar,99,1.7,41
CO,35th & Colorado,May,178,3.1,57.9
CO,35th & Colorado,Nov,160,1.1,40.6
CO,35th & Colorado,Oct,215,1.2,52.9
CO,35th & Colorado,Sep,275,1.5,62.2
CO,38th & Arapahoe,Apr,271,2.5,49.1
CO,38th & Arapahoe,Aug,428,1.5,70.9
CO,38th & Arapahoe,Dec,191,0.7,33.4
CO,38th & Arapahoe,Feb,272,0.8,35.8
CO,38th & Arapahoe,Jan,253,0.7,32.5
CO,38th & Arapahoe,Jul,521,1.6,72.9
CO,38th & Arapahoe,Jun,522,2.1,67.1
CO,38th & Arapahoe,Mar,323,1.7,41
CO,38th & Arapahoe,May,380,3.1,57.9
CO,38th & Arapahoe,Nov,317,1.1,40.6
CO,38th & Arapahoe,Oct,318,1.2,52.9
CO,38th & Arapahoe,Sep,332,1.5,62.2
CO,48th & Arapahoe,Apr,238,2.5,49.1
CO,48th & Arapahoe,Aug,419,1.5,70.9
CO,48th & Arapahoe,Dec,156,0.7,33.4
CO,48th & Arapahoe,Feb,151,0.8,35.8
CO,48th & Arapahoe,Jan,147,0.7,32.5
CO,48th & Arapahoe,Jul,443,1.6,72.9
CO,48th & Arapahoe,Jun,491,2.1,67.1
CO,48th & Arapahoe,Mar,277,1.7,41
CO,48th & Arapahoe,May,322,3.1,57.9
CO,48th & Arapahoe,Nov,192,1.1,40.6
CO,48th & Arapahoe,Oct,342,1.2,52.9
CO,48th & Arapahoe,Sep,347,1.5,62.2
CO,6th & Canyon,Apr,206,2.5,49.1
CO,6th & Canyon,Aug,290,1.5,70.9
CO,6th & Canyon,Dec,65,0.7,33.4
CO,6th & Canyon,Feb,123,0.8,35.8
CO,6th & Canyon,Jan,124,0.7,32.5
CO,6th & Canyon,Jul,318,1.6,72.9
CO,6th & Canyon,Jun,236,2.1,67.1
CO,6th & Canyon,Mar,202,1.7,41
