Columbus Museum of Art,Aug-17,53
Columbus Museum of Art,Dec-17,7
Columbus Museum of Art,Feb-17,11
Columbus Museum of Art,Jul-17,50
Columbus Museum of Art,Jun-17,29
Columbus Museum of Art,Mar-17,12
Columbus Museum of Art,May-17,22
Columbus Museum of Art,Nov-17,13
Columbus Museum of Art,Oct-17,34
Columbus Museum of Art,Sep-17,25
Convention Center,Apr-17,126
Convention Center,Aug-17,141
Convention Center,Dec-17,18
Convention Center,Feb-17,70
Convention Center,Jan-17,62
Convention Center,Jul-17,300
Convention Center,Jun-17,225
Convention Center,Mar-17,94
Convention Center,May-17,153
Convention Center,Nov-17,54
Convention Center,Oct-17,91
Convention Center,Sep-17,161
Dorrian Commons - Mound St,Apr-17,72
Dorrian Commons - Mound St,Aug-17,88
Dorrian Commons - Mound St,Dec-17,8
Dorrian Commons - Mound St,Feb-17,13
Dorrian Commons - Mound St,Jan-17,7
Dorrian Commons - Mound St,Jul-17,92
Dorrian Commons - Mound St,Jun-17,85
Dorrian Commons - Mound St,Mar-17,27
Dorrian Commons - Mound St,May-17,69
Dorrian Commons - Mound St,Nov-17,18
Dorrian Commons - Mound St,Oct-17,43
Dorrian Commons - Mound St,Sep-17,67
Front St & Beck St,Apr-17,78
Front St & Beck St,Aug-17,85
Front St & Beck St,Dec-17,10
Front St & Beck St,Feb-17,41
Front St & Beck St,Jan-17,20
Front St & Beck St,Jul-17,173
Front St & Beck St,Jun-17,122
Front St & Beck St,Mar-17,40
Front St & Beck St,May-17,119
Front St & Beck St,Nov-17,20
Front St & Beck St,Oct-17,46
Front St & Beck St,Sep-17,89
Grant Ave & Main St,Apr-17,41
Grant Ave & Main St,Aug-17,46
Grant Ave & Main St,Dec-17,12
Grant Ave & Main St,Feb-17,45
Grant Ave & Main St,Jan-17,17
Grant Ave & Main St,Jul-17,37
Grant Ave & Main St,Jun-17,62
Grant Ave & Main St,Mar-17,19
Grant Ave & Main St,May-17,60
Grant Ave & Main St,Nov-17,17
Grant Ave & Main St,Oct-17,25
Grant Ave & Main St,Sep-17,35
High St & 11th Ave,Apr-17,101
High St & 11th Ave,Aug-17,133
High St & 11th Ave,Dec-17,12
High St & 11th Ave,Feb-17,31
High St & 11th Ave,Jan-17,27
High St & 11th Ave,Jul-17,151
High St & 11th Ave,Jun-17,146
High St & 11th Ave,Mar-17,45
High St & 11th Ave,May-17,118
High St & 11th Ave,Nov-17,48
High St & 11th Ave,Oct-17,86
High St & 11th Ave,Sep-17,165
High St & 17th Ave,Apr-17,79
High St & 17th Ave,Aug-17,100
High St & 17th Ave,Dec-17,10
High St & 17th Ave,Feb-17,30
High St & 17th Ave,Jan-17,13
High St & 17th Ave,Jul-17,145
High St & 17th Ave,Jun-17,94
High St & 17th Ave,Mar-17,20
High St & 17th Ave,May-17,68
High St & 17th Ave,Nov-17,27
High St & 17th Ave,Oct-17,62
High St & 17th Ave,Sep-17,134
High St & 2nd Ave,Apr-17,112
High St & 2nd Ave,Aug-17,185
High St & 2nd Ave,Dec-17,13
High St & 2nd Ave,Feb-17,60
High St & 2nd Ave,Jan-17,13
High St & 2nd Ave,Jul-17,210
High St & 2nd Ave,Jun-17,189
High St & 2nd Ave,Mar-17,70
High St & 2nd Ave,May-17,111
High St & 2nd Ave,Nov-17,21
High St & 2nd Ave,Oct-17,91
High St & 2nd Ave,Sep-17,189
High St & 4th Ave,Apr-17,96
High St & 4th Ave,Aug-17,170
High St & 4th Ave,Dec-17,21
High St & 4th Ave,Feb-17,44
High St & 4th Ave,Jan-17,24
High St & 4th Ave,Jul-17,196
